
wing_chord = 1.0 (m)
stroke_time = 0.96 (m)
pitch_acc_time_fraction = 0.5
Re, stroke_dist, acc_time_fraction, pitch_time_fraction, pitch_angle, acc_t (s), steady_t (s), pitch_t (s), nu (m^2/s), acc (m/s^2), pitch_acc (deg/s^2), steady_velocity (m/s), acc_dist (chords), steady_dist (chords), pitch_dist (chords), c_U (s)
100.0, 3.0, 0.125, 0.125, 90.0, 0.06, 0.84, 0.12, 0.03333333333333333, 55.55555555555556, 33333.333333333336, 3.3333333333333335, 0.1, 2.8, 0.30000000000000004, 0.3
100.0, 3.0, 0.125, 0.25, 90.0, 0.06, 0.84, 0.24, 0.03333333333333333, 55.55555555555556, 8333.333333333334, 3.3333333333333335, 0.1, 2.8, 0.7, 0.3
100.0, 3.0, 0.125, 0.5, 90.0, 0.06, 0.84, 0.48, 0.03333333333333333, 55.55555555555556, 2083.3333333333335, 3.3333333333333335, 0.1, 2.8, 1.5, 0.3
100.0, 3.0, 0.25, 0.125, 90.0, 0.12, 0.72, 0.12, 0.03571428571428572, 29.761904761904766, 33333.333333333336, 3.5714285714285716, 0.2142857142857143, 2.5714285714285716, 0.2142857142857143, 0.27999999999999997
100.0, 3.0, 0.25, 0.25, 90.0, 0.12, 0.72, 0.24, 0.03571428571428572, 29.761904761904766, 8333.333333333334, 3.5714285714285716, 0.2142857142857143, 2.5714285714285716, 0.6428571428571429, 0.27999999999999997
100.0, 3.0, 0.25, 0.5, 90.0, 0.12, 0.72, 0.48, 0.03571428571428572, 29.761904761904766, 2083.3333333333335, 3.5714285714285716, 0.2142857142857143, 2.5714285714285716, 1.5, 0.27999999999999997
100.0, 3.0, 0.5, 0.125, 90.0, 0.24, 0.48, 0.12, 0.04166666666666667, 17.361111111111114, 33333.333333333336, 4.166666666666667, 0.5, 2.0, 0.12500000000000003, 0.24
100.0, 3.0, 0.5, 0.25, 90.0, 0.24, 0.48, 0.24, 0.04166666666666667, 17.361111111111114, 8333.333333333334, 4.166666666666667, 0.5, 2.0, 0.5000000000000001, 0.24
100.0, 3.0, 0.5, 0.5, 90.0, 0.24, 0.48, 0.48, 0.04166666666666667, 17.361111111111114, 2083.3333333333335, 4.166666666666667, 0.5, 2.0, 1.5, 0.24
100.0, 5.0, 0.125, 0.125, 90.0, 0.06, 0.84, 0.12, 0.05555555555555556, 92.59259259259261, 33333.333333333336, 5.555555555555556, 0.16666666666666669, 4.666666666666667, 0.5, 0.17999999999999997
