t/c = 0.05
Thickness = 3 mm
flapping amplitude = 160 degree
Medium_or_frequency = 1
Re, aspect_ratio, root_offset, r1_h_design, r1_hat, r2_hat, r3_hat, R (mm), R_total (mm), flapping_frequency (Hz), kinematic_viscosity (m^2/s), S (m^2), ref_vel_Ur2 (m/s), max.force (N), max.moment (Nmm)
100, 2.0, 0.0, 0.4, 0.4008880830031921, 0.4755434307561532, 0.5298323167330942, 120.0, 120.0, 1, 0.0001907871039647406, 0.0071834236999405296, 0.3187122663523023, 0.0031526873048396743, 0.20044747423898632
100, 2.0, 0.0, 0.45, 0.4502566678067939, 0.5179245028802987, 0.5672510388886924, 120.0, 120.0, 1, 0.00020811701812501965, 0.007194718243861968, 0.34711633351741694, 0.003562929491019374, 0.242529054632148
100, 2.0, 0.0, 0.5, 0.4999651600406408, 0.559261077790461, 0.6029273829085976, 120.0, 120.0, 1, 0.0002248535229532068, 0.007198760999941739, 0.374820371930714, 0.003977802834499456, 0.287799150327739
100, 2.0, 0.0, 0.55, 0.5484854186567915, 0.5988490200291035, 0.6364246490102272, 120.0, 120.0, 1, 0.00024142553270165498, 0.007218359525865039, 0.401352465479014, 0.004408246904137757, 0.3366620386459551
100, 2.0, 0.0, 0.6, 0.5940299316718308, 0.6357782372377179, 0.6671134287358721, 120.0, 120.0, 1, 0.00025833873947028377, 0.00727539424786621, 0.4261026644092337, 0.0048680639746540855, 0.38970610193244776
100, 2.0, 0.1, 0.4, 0.4553528027301746, 0.5112932647627106, 0.5566740782838066, 120.0, 132.0, 1, 0.00020512986817133676, 0.0071834236999405296, 0.3426720350738075, 0.0034899594816019354, 0.23313239732023064
100, 2.0, 0.1, 0.45, 0.5002333343698125, 0.5517044395619509, 0.5929696227987259, 120.0, 132.0, 1, 0.00022169077193574108, 0.00719471824386197, 0.36975586437988245, 0.003897697039390269, 0.277345913187715
100, 2.0, 0.1, 0.5, 0.5454228727642187, 0.5910950652376716, 0.62759008629953, 120.0, 132.0, 1, 0.00023765252597954533, 0.007198760999941739, 0.396155715098421, 0.0043076615187069515, 0.3244134797129351
100, 2.0, 0.1, 0.55, 0.5895321987789012, 0.6287316581431103, 0.6600911351093786, 120.0, 132.0, 1, 0.0002534726958160812, 0.00721835952586504, 0.4213800017710345, 0.004731778200503366, 0.3748085812147296
100, 2.0, 0.1, 0.6, 0.6309363015198459, 0.6637110501432106, 0.6898589911004566, 120.0, 132.0, 1, 0.00026968880975141883, 0.00727539424786621, 0.44482341530373914, 0.005184936620807259, 0.42922501753798875
100, 2.0, 0.2, 0.4, 0.5007400691693266, 0.5442226794402174, 0.581928160184997, 120.0, 144.0, 1, 0.0002183410856022786, 0.00718342369994053, 0.36474154061788583, 0.0038130284682277556, 0.26626903694985543
100, 2.0, 0.2, 0.45, 0.5418805565056617, 0.582349442754736, 0.616809055000801, 120.0, 144.0, 1, 0.00023400481896276138, 0.007194718243861968, 0.3902943426518162, 0.004212243218682842, 0.3117779710979155
